cid,name,type,tag,level,price,effect,info
道具id,道具名,类型,标签,等级,价格,效果,描述
int,str,str,str,int,int,int,str
0,1,0,0,0,0,0,1
道具配置数据,,,,,
0,应急理智小样,Drug,pl_use,0,20,10,使用后回复10理智。用以临时维持理智的应急合剂，方便携带的试用小样。
1,应急理智合剂,Drug,pl_use,1,100,60,使用后回复60理智。用以临时维持理智的应急合剂，可以让头脑保持清醒。
2,应急理智加强剂,Drug,pl_use,2,200,140,使用后回复140理智。用以临时维持理智的应急合剂，可以让头脑保持清醒。
3,应急理智浓缩液,Drug,pl_use,3,400,300,使用后回复300理智。用于临时维持理智的大剂量浓缩应急合剂，配方中新增活性成分，效果立竿见影，可能会造成生物钟紊乱，服用前请仔细阅读说明。
11,精力剂,Drug,pl_use,0,100,20,使用后回复20ml精液量。
16,阴茎增大药,Drug,pl_use,4,200,0,使用后会让自己的阴茎增大一个级别，越大的阴茎带来的快感越多，但苦痛也会更多
17,阴茎缩小药,Drug,pl_use,4,200,0,使用后会让自己的阴茎缩小一个级别，越小的阴茎带来的快感越少，但苦痛也会更少
21,丰胸药,Drug,npc_use,2,200,0,使用后会让对方的胸部增大一个级别
22,缩胸药,Drug,npc_use,2,200,0,使用后会让对方的胸部缩小一个级别
23,丰臀药,Drug,npc_use,2,200,0,使用后会让对方的臀部增大一个级别
24,缩臀药,Drug,npc_use,2,200,0,使用后会让对方的臀部缩小一个级别
25,丰腿药,Drug,npc_use,2,200,0,使用后会让对方的腿部变成丰满的肉腿
26,瘦腿药,Drug,npc_use,2,200,0,使用后会让对方的腿部变成纤细的细腿
27,丰足药,Drug,npc_use,2,200,0,使用后会让对方的脚部变成细长的长足
28,瘦足药,Drug,npc_use,2,200,0,使用后会让对方的脚部变成小巧的小足
31,外表年龄增长药,Drug,npc_use,3,200,0,使用后会让对方的外表年龄增长一个级别，最大为【人妻】
32,外表年龄减少药,Drug,npc_use,3,200,0,使用后会让对方的外表年龄减少一个级别，最小为【萝莉】
33,泌乳药,Drug,npc_use,3,200,0,使用后会让对方的乳房开始分泌奶水
34,停乳药,Drug,npc_use,3,200,0,使用后会让对方的乳房停止分泌奶水
50,相机,Machine,Machine,0,500,0,可以用来拍照，暂未实装。
51,录像机,Machine,Machine,0,500,0,可以用来录像，暂未实装。
52,全乐器套装,Machine,Machine,0,1000,0,含有全部类型的乐器，因为分类很麻烦所以不拆开卖，可以获得比唱歌更好的效果
100,润滑液,H_Drug,H_Drug,0,10,0,增加润滑
101,事前避孕药(1个月量),H_Drug,H_Drug,0,100,0,可以持续防止怀孕的药物，需要每天服用一次，共一个月的量。
